inter_arrival_time,packet_size,protocol,flow_duration,total_bytes,packet_count,dst_port,ttl,label,class_name,dataset
23.08093284,94,6,300.0521269,1316,14,443,114,0,Web_Chat,ISCX_VPN_2016
4.448660666,137.7647059,6,373.6874959,11710,85,443,113.8352941,0,Web_Chat,ISCX_VPN_2016
26.67299189,94,6,240.056927,940,10,443,113.5,0,Web_Chat,ISCX_VPN_2016
4.673485925,141.825,6,369.2053881,11346,80,443,114,0,Web_Chat,ISCX_VPN_2016
14.40677775,60,6,360.1694438,1560,26,443,114.5,0,Web_Chat,ISCX_VPN_2016
14.40705869,60,6,360.1764672,1560,26,443,114.5,0,Web_Chat,ISCX_VPN_2016
17.87538865,92,17,357.5077729,1932,21,137,128,0,Web_Chat,ISCX_VPN_2016
0.411864996,64,17,0.411864996,128,2,5355,1,0,Web_Chat,ISCX_VPN_2016
0.411466122,64,17,0.411466122,128,2,5355,1,0,Web_Chat,ISCX_VPN_2016
14.40705364,60,6,360.1763411,1560,26,443,112.5,0,Web_Chat,ISCX_VPN_2016
14.406801,60,6,360.1700251,1560,26,443,112.5,0,Web_Chat,ISCX_VPN_2016
42.87775227,94.75,17,300.1442659,758,8,11113,181,0,Web_Chat,ISCX_VPN_2016
0.412403107,64,17,0.412403107,128,2,5355,1,0,Web_Chat,ISCX_VPN_2016
0.411983013,64,17,0.411983013,128,2,5355,1,0,Web_Chat,ISCX_VPN_2016
0.208146095,314,17,0.208146095,628,2,53,159,0,Web_Chat,ISCX_VPN_2016
0.139543056,90,17,0.139543056,180,2,123,152,0,Web_Chat,ISCX_VPN_2016
0.411427975,64,17,0.411427975,128,2,5355,1,0,Web_Chat,ISCX_VPN_2016
0.411081076,64,17,0.411081076,128,2,5355,1,0,Web_Chat,ISCX_VPN_2016
0.412088871,64,17,0.412088871,128,2,5355,1,0,Web_Chat,ISCX_VPN_2016
0.411535978,64,17,0.411535978,128,2,5355,1,0,Web_Chat,ISCX_VPN_2016
