fold,model,accuracy,F,train_time,params
1,PSO-FFNN (A),0.4666666666666667,0.45667825120051797,3.3886375427246094,325
1,MOPSO-FFNN-AD (C),0.3433333333333333,0.4781389796777333,10.06709909439087,325
1,CNN-1D,0.6333333333333333,0.2985291618915535,20.32488465309143,2373
1,LSTM,0.62,0.31028125497848935,5.697282075881958,13093
1,Transformer,0.6033333333333334,0.31901044521952604,9.32132887840271,18437
2,PSO-FFNN (A),0.44333333333333336,0.48525088848536396,3.073107957839966,325
2,MOPSO-FFNN-AD (C),0.41,0.44976457345404897,9.293171405792236,325
2,CNN-1D,0.5933333333333334,0.3153686964899691,21.55756902694702,2373
2,LSTM,0.6266666666666667,0.32269380103648143,5.3297812938690186,13093
2,Transformer,0.6266666666666667,0.2975835618103456,9.755178689956665,18437
3,PSO-FFNN (A),0.5133333333333333,0.4221668846742454,4.446314334869385,325
3,MOPSO-FFNN-AD (C),0.4,0.47680087295930823,13.477300882339478,325
3,CNN-1D,0.6166666666666667,0.3036828746351571,18.76924991607666,2373
3,LSTM,0.63,0.30370097205810603,5.2431347370147705,13093
3,Transformer,0.6133333333333333,0.2898660844669911,9.224997520446777,18437
4,PSO-FFNN (A),0.4666666666666667,0.44052097246654454,2.8857102394104004,325
4,MOPSO-FFNN-AD (C),0.4033333333333333,0.44280199708143025,8.969565629959106,325
4,CNN-1D,0.63,0.2992445695950319,17.793787956237793,2373
4,LSTM,0.6666666666666666,0.29230138735689204,4.570876359939575,13093
4,Transformer,0.65,0.29558361072061845,8.336774349212646,18437
5,PSO-FFNN (A),0.47,0.45271551481855266,2.92077374458313,325
5,MOPSO-FFNN-AD (C),0.34,0.5087401754296068,9.229552507400513,325
5,CNN-1D,0.6166666666666667,0.3052967618223338,19.65591311454773,2373
5,LSTM,0.67,0.2952923093868548,4.647539377212524,13093
5,Transformer,0.6366666666666667,0.28879172217506516,8.170520067214966,18437
6,PSO-FFNN (A),0.44,0.4540466008401989,3.06107759475708,325
6,MOPSO-FFNN-AD (C),0.39666666666666667,0.482284382451887,9.381726503372192,325
6,CNN-1D,0.59,0.312830920423102,18.49836301803589,2373
6,LSTM,0.6,0.3161931894304278,4.713785171508789,13093
6,Transformer,0.62,0.2811746931877789,8.207821369171143,18437
7,PSO-FFNN (A),0.5366666666666666,0.42905731312747225,2.9085090160369873,325
7,MOPSO-FFNN-AD (C),0.23333333333333334,0.5569805705624968,9.470596313476562,325
7,CNN-1D,0.6266666666666667,0.30840081407508413,18.86648917198181,2373
7,LSTM,0.6866666666666666,0.29532196769989416,5.420133829116821,13093
7,Transformer,0.5433333333333333,0.34015825505857783,9.748610258102417,18437
8,PSO-FFNN (A),0.47333333333333333,0.45321190818617885,3.3206961154937744,325
8,MOPSO-FFNN-AD (C),0.43,0.47578142096177667,10.743343830108643,325
8,CNN-1D,0.6233333333333333,0.30439044183434893,19.302685737609863,2373
8,LSTM,0.65,0.3096084871573074,4.974634170532227,13093
8,Transformer,0.6333333333333333,0.2843160105707092,8.79311490058899,18437
9,PSO-FFNN (A),0.5033333333333333,0.43882068162791105,3.2577290534973145,325
9,MOPSO-FFNN-AD (C),0.43,0.4699677700921648,10.501760005950928,325
9,CNN-1D,0.65,0.2901405254618256,17.24312949180603,2373
9,LSTM,0.6666666666666666,0.29801602121825627,5.698369741439819,13093
9,Transformer,0.6633333333333333,0.2635843034386522,10.09185242652893,18437
10,PSO-FFNN (A),0.48,0.4535320751316517,3.3759450912475586,325
10,MOPSO-FFNN-AD (C),0.4,0.47570815502535835,10.707434892654419,325
10,CNN-1D,0.57,0.325691484603483,18.05159592628479,2373
10,LSTM,0.6066666666666667,0.3239260863146874,5.315513372421265,13093
10,Transformer,0.6233333333333333,0.27686033731967,9.688918590545654,18437
